"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",8.9,,,,,2.776911,0.342308,0.856108,3037,3205,0.30234009,0.04024961
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.99,,,,,2.612137,0.165,1.704545,352,379,0.18469657,0.02902375
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.53,,,,,2.420091,0.176667,1.442308,208,219,0.15525114,0.00913242
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",7.92,,,,,2.777973,0.344348,0.855337,2689,2851,0.2851631,0.03612767
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.06,,,,,3.333333,0.265,1.320132,303,318,0.16037736,0.00943396
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.54,,,,,2.117647,,0,247,255,0.16078431,0.01176471
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.88,,,,,3.852459,0.313333,1.279318,469,488,0.20901639,0.03278689
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",12.21,12.21,actions:offsite_conversion.fb_pixel_purchase,1,4.503686,2.925953,0.436071,0.681302,3963,4173,0.27150731,0.02899593
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.65,,,,,2.380952,0.65,0.390625,256,273,0.16117216,0.02197802
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.54,,,,,2.535211,0.135,1.923077,208,213,0.15023474,0.01877934
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",6.7,,,,,2.862025,0.394118,0.759268,2239,2341,0.27595045,0.02947458
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",7.48,,,,,3.017346,0.374,0.851426,2349,2479,0.29245664,0.03751513
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",6.21,,,,,2.65158,0.295714,0.948509,2214,2342,0.27540564,0.03159693
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.55,,,,,2.022059,0.183333,1.149425,261,272,0.16176471,0.01838235
